airline,overall_rating,review_date,traveller_type,cabin,departure_date,seat_comfort,cabin_service,food_bev,entertainment,ground_service,value_for_money,recommended
Turkish Airlines,7,08-05-2019,Business,Economy Class,01-05-2019,4,5,4,4,2,4,yes
Turkish Airlines,2,07-05-2019,Family Leisure,Economy Class,01-05-2019,4,1,1,1,1,1,no
Turkish Airlines,3,07-05-2019,Business,Economy Class,01-05-2019,1,4,1,3,1,2,no
Turkish Airlines,10,06-05-2019,Solo Leisure,Economy Class,01-04-2019,4,5,5,5,5,5,yes
Turkish Airlines,1,06-05-2019,Solo Leisure,Economy Class,01-05-2019,1,1,1,1,1,1,no
Turkish Airlines,2,05-05-2019,Couple Leisure,Economy Class,01-05-2019,3,3,5,3,1,1,no
Turkish Airlines,1,02-05-2019,Business,Business Class,01-04-2019,2,2,2,3,1,1,no
Turkish Airlines,2,29-04-2019,Solo Leisure,Economy Class,01-04-2019,3,3,2,3,1,2,no
Turkish Airlines,6,29-04-2019,Solo Leisure,Economy Class,01-04-2019,2,3,3,3,3,3,yes
Turkish Airlines,1,28-04-2019,Solo Leisure,Economy Class,01-02-2019,1,1,1,1,1,1,no
Turkish Airlines,1,25-04-2019,Family Leisure,Economy Class,01-10-2018,4,4,4,3,1,1,no
Turkish Airlines,1,25-04-2019,Family Leisure,Economy Class,01-04-2019,2,5,4,4,2,3,no
Turkish Airlines,2,24-04-2019,Solo Leisure,Economy Class,01-03-2019,1,3,2,2,1,1,no
Turkish Airlines,3,23-04-2019,Solo Leisure,Economy Class,01-04-2019,1,1,3,4,1,1,no
Turkish Airlines,8,22-04-2019,Solo Leisure,Economy Class,01-04-2019,5,5,4,5,4,4,yes
Turkish Airlines,5,21-04-2019,Solo Leisure,Economy Class,01-04-2019,2,2,3,1,2,3,yes
Turkish Airlines,7,21-04-2019,Solo Leisure,Economy Class,01-04-2019,4,3,3,3,4,4,yes
Turkish Airlines,8,20-04-2019,Solo Leisure,Economy Class,01-04-2019,4,5,4,4,5,5,yes
Turkish Airlines,1,18-04-2019,Family Leisure,Economy Class,01-04-2019,1,1,1,1,1,1,no
Turkish Airlines,4,18-04-2019,Solo Leisure,Economy Class,01-04-2019,2,3,3,2,2,3,no
Turkish Airlines,2,17-04-2019,Couple Leisure,Economy Class,01-03-2019,3,2,1,3,1,2,no
Turkish Airlines,1,16-04-2019,Business,Economy Class,01-04-2019,1,1,1,1,1,1,no
Turkish Airlines,10,15-04-2019,Couple Leisure,Business Class,01-04-2019,5,5,5,5,5,5,yes
Turkish Airlines,5,13-04-2019,Solo Leisure,Business Class,01-04-2019,2,4,5,3,2,3,no
